Year,Group,Club,Value
2019,1,River Plate,95.98
2019,1,Internacional,62.55
2019,1,Alianza Lima,8.1
2019,1,Palestino,7.83
2019,2,Cruzeiro,51.1
2019,2,Emelec,21.6
2019,2,Huracan,23.35
2019,2,Deportivo Lara,5.3
2019,3,Olimpia,15.55
2019,3,Sporting Cristal,6.75
2019,3,Godoy Cruz,36
2019,3,Universidad de Concepcion,9.63
2019,4,Peñarol,14.33
2019,4,Flamengo,96.25
2019,4,LDU de Quito,19.15
2019,4,San Jose,3.88
2019,5,Nacional,11.75
2019,5,Cerro Porteño,11.08
2019,5,Zamora,4.83
2019,5,Atletico Mineiro,45.85
2019,6,Palmeiras,112
2019,6,San Lorenzo,36.43
2019,6,Junior FC,24.85
2019,6,Melgar,7.15
2019,7,Boca Juniors,103.18
2019,7,Atletico Paranaense,37.1
2019,7,Wilstermann,3.7
2019,7,Deportes Tolima,20.2
2019,8,Gremio,77.3
2019,8,Universidad Catolica,17.93
2019,8,Rosario Central,27.3
2019,8,Libertad,15.3
